机型,日期,销量,月份,周数,index
华为Mate 20 RS保时捷版,2.24-2.29,33,2,9,1230266
华为Mate 20 RS保时捷版,3.1-3.5,4,3,10,1230266
华为Mate 20 RS保时捷版,3.6-3.12,5,3,11,1230266
华为Mate 20 RS保时捷版,3.13-3.19,6,3,12,1230266
华为Mate 20 RS保时捷版,3.20-3.26,5,3,13,1230266
华为Mate 20 RS保时捷版,3.27-3.31,4,3,14,1230266
华为Mate 20 RS保时捷版,4.1-4.2,1,4,14,1230266
华为Mate 20 RS保时捷版,4.3-4.9,5,4,15,1230266
华为Mate 20 RS保时捷版,4.10-4.16,6,4,16,1230266
华为Mate 20 RS保时捷版,4.17-4.23,6,4,17,1230266
华为Mate 20 RS保时捷版,4.24-4.30,5,4,18,1230266
华为Mate 20 RS保时捷版,5.1-5.7,7,5,19,1230266
华为Mate 20 RS保时捷版,5.8-5.14,4,5,20,1230266
华为Mate 20 RS保时捷版,5.15-5.21,4,5,21,1230266
华为Mate 20 RS保时捷版,5.22-5.28,5,5,22,1230266
华为Mate 20 RS保时捷版,5.29-5.31,6,5,23,1230266
华为Mate 20 RS保时捷版,6.1-6.4,5,6,23,1230266
华为Mate 20 RS保时捷版,6.5-6.11,18,6,24,1230266
华为Mate 20 RS保时捷版,6.12-6.18,17,6,25,1230266
华为Mate 20 RS保时捷版,6.19-6.25,10,6,26,1230266
华为Mate 20 RS保时捷版,6.26-6.30,4,6,27,1230266
华为Mate 20 RS保时捷版,7.1-7.2,1,7,27,1230266
华为Mate 20 RS保时捷版,7.3-7.9,6,7,28,1230266
华为Mate 20 RS保时捷版,7.10-7.16,12,7,29,1230266
华为Mate 20 RS保时捷版,7.17-7.23,23,7,30,1230266
华为Mate 20 RS保时捷版,7.24-7.30,28,7,31,1230266
华为Mate 20 RS保时捷版,7.31-7.31,4,7,32,1230266
华为Mate 20 RS保时捷版,8.1-8.6,27,8,32,1230266
华为Mate 20 RS保时捷版,8.7-8.13,80,8,33,1230266
华为Mate 20 RS保时捷版,8.14-8.20,19,8,34,1230266
华为Mate 20 RS保时捷版,8.21-8.27,25,8,35,1230266
华为Mate 20 RS保时捷版,8.28-8.31,15,8,36,1230266
华为Mate 20 RS保时捷版,9.1-9.3,8,9,36,1230266
华为Mate 20 RS保时捷版,9.4-9.10,22,9,37,1230266
华为Mate 20 RS保时捷版,9.11-9.17,39,9,38,1230266
华为Mate 20 RS保时捷版,9.18-9.24,50,9,39,1230266
华为Mate 20 RS保时捷版,9.25-9.30,24,9,40,1230266
华为Mate 20 RS保时捷版,10.1,5,10,40,1230266
华为Mate 20 RS保时捷版,10.2-10.8,21,10,41,1230266
华为Mate 20 RS保时捷版,10.9-10.15,24,10,42,1230266
华为Mate 20 RS保时捷版,10.16-10.22,8,10,43,1230266
华为Mate 20 X,1.1-1.5,5779,1,1,1233492
华为Mate 20 X,1.6-1.12,6426,1,2,1233492
华为Mate 20 X,1.13-1.19,19955,1,3,1233492
华为Mate 20 X,1.20-1.26,20127,1,4,1233492
华为Mate 20 X,1.27-1.31,14372,1,5,1233492
华为Mate 20 X,2.1-2.2,6266,2,5,1233492
华为Mate 20 X,2.3-2.9,16217,2,6,1233492
华为Mate 20 X,2.10-2.16,16002,2,7,1233492
华为Mate 20 X,2.17-2.23,15867,2,8,1233492
华为Mate 20 X,2.24-2.29,14804,2,9,1233492
华为Mate 20 X,3.1-3.5,11082,3,10,1233492
华为Mate 20 X,3.6-3.12,15468,3,11,1233492
华为Mate 20 X,3.13-3.19,13538,3,12,1233492
华为Mate 20 X,3.20-3.26,3014,3,13,1233492
华为Mate 20 X,3.27-3.31,2277,3,14,1233492
华为Mate 20 X,4.1-4.2,967,4,14,1233492
华为Mate 20 X,4.3-4.9,3720,4,15,1233492
华为Mate 20 X,4.10-4.16,3590,4,16,1233492
华为Mate 20 X,4.17-4.23,3170,4,17,1233492
华为Mate 20 X,4.24-4.30,3195,4,18,1233492
华为Mate 20 X,5.1-5.7,3173,5,19,1233492
华为Mate 20 X,5.8-5.14,3245,5,20,1233492
华为Mate 20 X,5.15-5.21,2753,5,21,1233492
华为Mate 20 X,5.22-5.28,2076,5,22,1233492
华为Mate 20 X,5.29-5.31,1055,5,23,1233492
华为Mate 20 X,6.1-6.4,1499,6,23,1233492
华为Mate 20 X,6.5-6.11,2699,6,24,1233492
华为Mate 20 X,6.12-6.18,2264,6,25,1233492
华为Mate 20 X,6.19-6.25,2793,6,26,1233492
华为Mate 20 X,6.26-6.30,3061,6,27,1233492
华为Mate 20 X,7.1-7.2,718,7,27,1233492
华为Mate 20 X,7.3-7.9,2516,7,28,1233492
华为Mate 20 X,7.10-7.16,2401,7,29,1233492
华为Mate 20 X,7.17-7.23,2186,7,30,1233492
华为Mate 20 X,7.24-7.30,2171,7,31,1233492
华为Mate 20 X,7.31-7.31,310,7,32,1233492
华为Mate 20 X,8.1-8.6,4659,8,32,1233492
华为Mate 20 X,8.7-8.13,3119,8,33,1233492
华为Mate 20 X,8.14-8.20,2265,8,34,1233492
华为Mate 20 X,8.21-8.27,2286,8,35,1233492
华为Mate 20 X,8.28-8.31,2566,8,36,1233492
华为Mate 20 X,9.1-9.3,1152,9,36,1233492
华为Mate 20 X,9.4-9.10,2397,9,37,1233492
华为Mate 20 X,9.11-9.17,2361,9,38,1233492
华为Mate 20 X,9.18-9.24,2128,9,39,1233492
华为Mate 20 X,9.25-9.30,2341,9,40,1233492
华为Mate 20 X,10.1,386,10,40,1233492
华为Mate 20 X,10.2-10.8,2250,10,41,1233492
华为Mate 20 X,10.9-10.15,2355,10,42,1233492
华为Mate 20 X,10.16-10.22,2933,10,43,1233492
华为Mate 20 X 5G,1.1-1.5,3296,1,1,1274859
华为Mate 20 X 5G,1.6-1.12,3630,1,2,1274859
华为Mate 20 X 5G,1.13-1.19,3574,1,3,1274859
华为Mate 20 X 5G,1.20-1.26,3303,1,4,1274859
华为Mate 20 X 5G,1.27-1.31,1575,1,5,1274859
华为Mate 20 X 5G,2.1-2.2,621,2,5,1274859
华为Mate 20 X 5G,2.3-2.9,1475,2,6,1274859
华为Mate 20 X 5G,2.10-2.16,1410,2,7,1274859
华为Mate 20 X 5G,2.17-2.23,1383,2,8,1274859
华为Mate 20 X 5G,2.24-2.29,1509,2,9,1274859
华为Mate 20 X 5G,3.1-3.5,1647,3,10,1274859
华为Mate 20 X 5G,3.6-3.12,2087,3,11,1274859
华为Mate 20 X 5G,3.13-3.19,2065,3,12,1274859
华为Mate 20 X 5G,3.20-3.26,1879,3,13,1274859
华为Mate 20 X 5G,3.27-3.31,1457,3,14,1274859
华为Mate 20 X 5G,4.1-4.2,701,4,14,1274859
华为Mate 20 X 5G,4.3-4.9,2044,4,15,1274859
华为Mate 20 X 5G,4.10-4.16,1943,4,16,1274859
华为Mate 20 X 5G,4.17-4.23,1614,4,17,1274859
华为Mate 20 X 5G,4.24-4.30,1604,4,18,1274859
华为Mate 20 X 5G,5.1-5.7,1586,5,19,1274859
华为Mate 20 X 5G,5.8-5.14,1547,5,20,1274859
华为Mate 20 X 5G,5.15-5.21,1283,5,21,1274859
华为Mate 20 X 5G,5.22-5.28,1088,5,22,1274859
华为Mate 20 X 5G,5.29-5.31,496,5,23,1274859
华为Mate 20 X 5G,6.1-6.4,657,6,23,1274859
华为Mate 20 X 5G,6.5-6.11,1287,6,24,1274859
华为Mate 20 X 5G,6.12-6.18,1307,6,25,1274859
华为Mate 20 X 5G,6.19-6.25,1051,6,26,1274859
华为Mate 20 X 5G,6.26-6.30,2175,6,27,1274859
华为Mate 20 X 5G,7.1-7.2,678,7,27,1274859
华为Mate 20 X 5G,7.3-7.9,2118,7,28,1274859
华为Mate 20 X 5G,7.10-7.16,3611,7,29,1274859
华为Mate 20 X 5G,7.17-7.23,5545,7,30,1274859
华为Mate 20 X 5G,7.24-7.30,7333,7,31,1274859
华为Mate 20 X 5G,7.31-7.31,1048,7,32,1274859
华为Mate 20 X 5G,8.1-8.6,9481,8,32,1274859
华为Mate 20 X 5G,8.7-8.13,9097,8,33,1274859
华为Mate 20 X 5G,8.14-8.20,9741,8,34,1274859
华为Mate 20 X 5G,8.21-8.27,11978,8,35,1274859
华为Mate 20 X 5G,8.28-8.31,2185,8,36,1274859
华为Mate 20 X 5G,9.1-9.3,1882,9,36,1274859
华为Mate 20 X 5G,9.4-9.10,3227,9,37,1274859
华为Mate 20 X 5G,9.11-9.17,2485,9,38,1274859
华为Mate 20 X 5G,9.18-9.24,2061,9,39,1274859
华为Mate 20 X 5G,9.25-9.30,1439,9,40,1274859
华为Mate 20 X 5G,10.1,202,10,40,1274859
华为Mate 20 X 5G,10.2-10.8,1343,10,41,1274859
华为Mate 20 X 5G,10.9-10.15,1853,10,42,1274859
华为Mate 20 X 5G,10.16-10.22,4326,10,43,1274859
华为Mate Xs,1.1-1.5,\,1,1,1303051
华为Mate Xs,1.6-1.12,\,1,2,1303051
华为Mate Xs,1.13-1.19,\,1,3,1303051
华为Mate Xs,1.20-1.26,\,1,4,1303051
华为Mate Xs,1.27-1.31,\,1,5,1303051
华为Mate Xs,2.1-2.2,\,2,5,1303051
华为Mate Xs,2.3-2.9,\,2,6,1303051
华为Mate Xs,2.10-2.16,\,2,7,1303051
华为Mate Xs,2.17-2.23,\,2,8,1303051
华为Mate Xs,2.24-2.29,\,2,9,1303051
华为Mate Xs,3.1-3.5,\,3,10,1303051
华为Mate Xs,3.6-3.12,1239,3,11,1303051
华为Mate Xs,3.13-3.19,1476,3,12,1303051
华为Mate Xs,3.20-3.26,1830,3,13,1303051
华为Mate Xs,3.27-3.31,1535,3,14,1303051
华为Mate Xs,4.1-4.2,672,4,14,1303051
华为Mate Xs,4.3-4.9,3323,4,15,1303051
华为Mate Xs,4.10-4.16,3874,4,16,1303051
华为Mate Xs,4.17-4.23,4310,4,17,1303051
华为Mate Xs,4.24-4.30,5593,4,18,1303051
华为Mate Xs,5.1-5.7,7004,5,19,1303051
华为Mate Xs,5.8-5.14,7463,5,20,1303051
华为Mate Xs,5.15-5.21,8624,5,21,1303051
华为Mate Xs,5.22-5.28,10047,5,22,1303051
华为Mate Xs,5.29-5.31,4925,5,23,1303051
华为Mate Xs,6.1-6.4,5959,6,23,1303051
华为Mate Xs,6.5-6.11,10540,6,24,1303051
华为Mate Xs,6.12-6.18,11133,6,25,1303051
华为Mate Xs,6.19-6.25,11655,6,26,1303051
华为Mate Xs,6.26-6.30,8103,6,27,1303051
华为Mate Xs,7.1-7.2,3234,7,27,1303051
华为Mate Xs,7.3-7.9,11543,7,28,1303051
华为Mate Xs,7.10-7.16,11344,7,29,1303051
华为Mate Xs,7.17-7.23,11752,7,30,1303051
华为Mate Xs,7.24-7.30,12826,7,31,1303051
华为Mate Xs,7.31-7.31,1832,7,32,1303051
华为Mate Xs,8.1-8.6,10473,8,32,1303051
华为Mate Xs,8.7-8.13,12277,8,33,1303051
华为Mate Xs,8.14-8.20,13069,8,34,1303051
华为Mate Xs,8.21-8.27,12979,8,35,1303051
华为Mate Xs,8.28-8.31,7368,8,36,1303051
华为Mate Xs,9.1-9.3,5469,9,36,1303051
华为Mate Xs,9.4-9.10,11787,9,37,1303051
华为Mate Xs,9.11-9.17,11846,9,38,1303051
华为Mate Xs,9.18-9.24,11173,9,39,1303051
华为Mate Xs,9.25-9.30,9003,9,40,1303051
华为Mate Xs,10.1,1596,10,40,1303051
华为Mate Xs,10.2-10.8,10301,10,41,1303051
华为Mate Xs,10.9-10.15,10882,10,42,1303051
华为Mate Xs,10.16-10.22,10817,10,43,1303051
华为Mate30,1.1-1.5,79753,1,1,1293856
华为Mate30,1.6-1.12,89230,1,2,1293856
华为Mate30,1.13-1.19,77093,1,3,1293856
华为Mate30,1.20-1.26,86326,1,4,1293856
华为Mate30,1.27-1.31,50488,1,5,1293856
华为Mate30,2.1-2.2,20707,2,5,1293856
华为Mate30,2.3-2.9,47026,2,6,1293856
华为Mate30,2.10-2.16,37712,2,7,1293856
华为Mate30,2.17-2.23,36519,2,8,1293856
华为Mate30,2.24-2.29,37262,2,9,1293856
华为Mate30,3.1-3.5,43709,3,10,1293856
华为Mate30,3.6-3.12,55336,3,11,1293856
华为Mate30,3.13-3.19,56085,3,12,1293856
华为Mate30,3.20-3.26,53114,3,13,1293856
华为Mate30,3.27-3.31,42053,3,14,1293856
华为Mate30,4.1-4.2,20263,4,14,1293856
华为Mate30,4.3-4.9,60853,4,15,1293856
华为Mate30,4.10-4.16,56634,4,16,1293856
华为Mate30,4.17-4.23,52787,4,17,1293856
华为Mate30,4.24-4.30,48987,4,18,1293856
华为Mate30,5.1-5.7,52494,5,19,1293856
华为Mate30,5.8-5.14,52982,5,20,1293856
华为Mate30,5.15-5.21,42858,5,21,1293856
华为Mate30,5.22-5.28,43275,5,22,1293856
华为Mate30,5.29-5.31,20772,5,23,1293856
华为Mate30,6.1-6.4,28804,6,23,1293856
华为Mate30,6.5-6.11,44889,6,24,1293856
华为Mate30,6.12-6.18,44965,6,25,1293856
华为Mate30,6.19-6.25,50853,6,26,1293856
华为Mate30,6.26-6.30,36529,6,27,1293856
华为Mate30,7.1-7.2,16232,7,27,1293856
华为Mate30,7.3-7.9,40852,7,28,1293856
华为Mate30,7.10-7.16,38134,7,29,1293856
华为Mate30,7.17-7.23,34802,7,30,1293856
华为Mate30,7.24-7.30,36966,7,31,1293856
华为Mate30,7.31-7.31,5281,7,32,1293856
华为Mate30,8.1-8.6,28328,8,32,1293856
华为Mate30,8.7-8.13,28155,8,33,1293856
华为Mate30,8.14-8.20,24894,8,34,1293856
华为Mate30,8.21-8.27,21935,8,35,1293856
华为Mate30,8.28-8.31,12701,8,36,1293856
华为Mate30,9.1-9.3,9849,9,36,1293856
华为Mate30,9.4-9.10,17775,9,37,1293856
华为Mate30,9.11-9.17,16682,9,38,1293856
华为Mate30,9.18-9.24,13949,9,39,1293856
华为Mate30,9.25-9.30,9726,9,40,1293856
华为Mate30,10.1,1668,10,40,1293856
华为Mate30,10.2-10.8,8621,10,41,1293856
华为Mate30,10.9-10.15,9253,10,42,1293856
华为Mate30,10.16-10.22,8244,10,43,1293856
华为Mate30 5G,1.1-1.5,101488,1,1,1238183
华为Mate30 5G,1.6-1.12,118279,1,2,1238183
华为Mate30 5G,1.13-1.19,124448,1,3,1238183
华为Mate30 5G,1.20-1.26,142384,1,4,1238183
华为Mate30 5G,1.27-1.31,76759,1,5,1238183
华为Mate30 5G,2.1-2.2,30541,2,5,1238183
华为Mate30 5G,2.3-2.9,69632,2,6,1238183
华为Mate30 5G,2.10-2.16,59421,2,7,1238183
华为Mate30 5G,2.17-2.23,67122,2,8,1238183
华为Mate30 5G,2.24-2.29,79692,2,9,1238183
华为Mate30 5G,3.1-3.5,98634,3,10,1238183
华为Mate30 5G,3.6-3.12,144114,3,11,1238183
华为Mate30 5G,3.13-3.19,150290,3,12,1238183
华为Mate30 5G,3.20-3.26,147953,3,13,1238183
华为Mate30 5G,3.27-3.31,120627,3,14,1238183
华为Mate30 5G,4.1-4.2,61026,4,14,1238183
华为Mate30 5G,4.3-4.9,180050,4,15,1238183
华为Mate30 5G,4.10-4.16,168424,4,16,1238183
华为Mate30 5G,4.17-4.23,161361,4,17,1238183
华为Mate30 5G,4.24-4.30,147756,4,18,1238183
华为Mate30 5G,5.1-5.7,156448,5,19,1238183
华为Mate30 5G,5.8-5.14,146965,5,20,1238183
华为Mate30 5G,5.15-5.21,132054,5,21,1238183
华为Mate30 5G,5.22-5.28,129495,5,22,1238183
华为Mate30 5G,5.29-5.31,64363,5,23,1238183
华为Mate30 5G,6.1-6.4,87999,6,23,1238183
华为Mate30 5G,6.5-6.11,140089,6,24,1238183
华为Mate30 5G,6.12-6.18,144306,6,25,1238183
华为Mate30 5G,6.19-6.25,151770,6,26,1238183
华为Mate30 5G,6.26-6.30,112078,6,27,1238183
华为Mate30 5G,7.1-7.2,52071,7,27,1238183
华为Mate30 5G,7.3-7.9,135674,7,28,1238183
华为Mate30 5G,7.10-7.16,135838,7,29,1238183
华为Mate30 5G,7.17-7.23,134420,7,30,1238183
华为Mate30 5G,7.24-7.30,152602,7,31,1238183
华为Mate30 5G,7.31-7.31,21800,7,32,1238183
华为Mate30 5G,8.1-8.6,123630,8,32,1238183
华为Mate30 5G,8.7-8.13,139452,8,33,1238183
华为Mate30 5G,8.14-8.20,139900,8,34,1238183
华为Mate30 5G,8.21-8.27,135848,8,35,1238183
华为Mate30 5G,8.28-8.31,89445,8,36,1238183
华为Mate30 5G,9.1-9.3,65172,9,36,1238183
华为Mate30 5G,9.4-9.10,104088,9,37,1238183
华为Mate30 5G,9.11-9.17,90587,9,38,1238183
华为Mate30 5G,9.18-9.24,70988,9,39,1238183
华为Mate30 5G,9.25-9.30,56515,9,40,1238183
华为Mate30 5G,10.1,9736,10,40,1238183
华为Mate30 5G,10.2-10.8,52162,10,41,1238183
华为Mate30 5G,10.9-10.15,60152,10,42,1238183
华为Mate30 5G,10.16-10.22,56397,10,43,1238183
华为Mate30 Pro,1.1-1.5,25222,1,1,1293857
华为Mate30 Pro,1.6-1.12,27662,1,2,1293857
华为Mate30 Pro,1.13-1.19,21074,1,3,1293857
华为Mate30 Pro,1.20-1.26,22207,1,4,1293857
华为Mate30 Pro,1.27-1.31,13293,1,5,1293857
华为Mate30 Pro,2.1-2.2,4854,2,5,1293857
华为Mate30 Pro,2.3-2.9,10685,2,6,1293857
华为Mate30 Pro,2.10-2.16,8696,2,7,1293857
华为Mate30 Pro,2.17-2.23,7777,2,8,1293857
华为Mate30 Pro,2.24-2.29,7211,2,9,1293857
华为Mate30 Pro,3.1-3.5,7762,3,10,1293857
华为Mate30 Pro,3.6-3.12,9210,3,11,1293857
华为Mate30 Pro,3.13-3.19,8595,3,12,1293857
华为Mate30 Pro,3.20-3.26,7667,3,13,1293857
华为Mate30 Pro,3.27-3.31,5907,3,14,1293857
华为Mate30 Pro,4.1-4.2,2712,4,14,1293857
华为Mate30 Pro,4.3-4.9,8031,4,15,1293857
华为Mate30 Pro,4.10-4.16,7063,4,16,1293857
华为Mate30 Pro,4.17-4.23,6520,4,17,1293857
华为Mate30 Pro,4.24-4.30,5776,4,18,1293857
华为Mate30 Pro,5.1-5.7,5561,5,19,1293857
华为Mate30 Pro,5.8-5.14,5907,5,20,1293857
华为Mate30 Pro,5.15-5.21,5130,5,21,1293857
华为Mate30 Pro,5.22-5.28,5004,5,22,1293857
华为Mate30 Pro,5.29-5.31,2287,5,23,1293857
华为Mate30 Pro,6.1-6.4,3428,6,23,1293857
华为Mate30 Pro,6.5-6.11,5743,6,24,1293857
华为Mate30 Pro,6.12-6.18,5579,6,25,1293857
华为Mate30 Pro,6.19-6.25,5470,6,26,1293857
华为Mate30 Pro,6.26-6.30,4105,6,27,1293857
华为Mate30 Pro,7.1-7.2,1823,7,27,1293857
华为Mate30 Pro,7.3-7.9,4231,7,28,1293857
华为Mate30 Pro,7.10-7.16,3825,7,29,1293857
华为Mate30 Pro,7.17-7.23,4004,7,30,1293857
华为Mate30 Pro,7.24-7.30,4469,7,31,1293857
华为Mate30 Pro,7.31-7.31,638,7,32,1293857
华为Mate30 Pro,8.1-8.6,3228,8,32,1293857
华为Mate30 Pro,8.7-8.13,3421,8,33,1293857
华为Mate30 Pro,8.14-8.20,3359,8,34,1293857
华为Mate30 Pro,8.21-8.27,3060,8,35,1293857
华为Mate30 Pro,8.28-8.31,1813,8,36,1293857
华为Mate30 Pro,9.1-9.3,1457,9,36,1293857
华为Mate30 Pro,9.4-9.10,2553,9,37,1293857
华为Mate30 Pro,9.11-9.17,2629,9,38,1293857
华为Mate30 Pro,9.18-9.24,2068,9,39,1293857
华为Mate30 Pro,9.25-9.30,1562,9,40,1293857
华为Mate30 Pro,10.1,272,10,40,1293857
华为Mate30 Pro,10.2-10.8,1431,10,41,1293857
华为Mate30 Pro,10.9-10.15,1543,10,42,1293857
华为Mate30 Pro,10.16-10.22,1417,10,43,1293857
华为Mate30 Pro 5G,1.1-1.5,112387,1,1,1265181
华为Mate30 Pro 5G,1.6-1.12,128515,1,2,1265181
华为Mate30 Pro 5G,1.13-1.19,130540,1,3,1265181
华为Mate30 Pro 5G,1.20-1.26,142702,1,4,1265181
华为Mate30 Pro 5G,1.27-1.31,74912,1,5,1265181
华为Mate30 Pro 5G,2.1-2.2,29332,2,5,1265181
华为Mate30 Pro 5G,2.3-2.9,65908,2,6,1265181
华为Mate30 Pro 5G,2.10-2.16,56203,2,7,1265181
华为Mate30 Pro 5G,2.17-2.23,61205,2,8,1265181
华为Mate30 Pro 5G,2.24-2.29,69504,2,9,1265181
华为Mate30 Pro 5G,3.1-3.5,110409,3,10,1265181
华为Mate30 Pro 5G,3.6-3.12,129018,3,11,1265181
华为Mate30 Pro 5G,3.13-3.19,127375,3,12,1265181
华为Mate30 Pro 5G,3.20-3.26,120088,3,13,1265181
华为Mate30 Pro 5G,3.27-3.31,94869,3,14,1265181
华为Mate30 Pro 5G,4.1-4.2,46307,4,14,1265181
华为Mate30 Pro 5G,4.3-4.9,134890,4,15,1265181
华为Mate30 Pro 5G,4.10-4.16,123767,4,16,1265181
华为Mate30 Pro 5G,4.17-4.23,111441,4,17,1265181
华为Mate30 Pro 5G,4.24-4.30,100601,4,18,1265181
华为Mate30 Pro 5G,5.1-5.7,105177,5,19,1265181
华为Mate30 Pro 5G,5.8-5.14,103815,5,20,1265181
华为Mate30 Pro 5G,5.15-5.21,89833,5,21,1265181
华为Mate30 Pro 5G,5.22-5.28,89686,5,22,1265181
华为Mate30 Pro 5G,5.29-5.31,44666,5,23,1265181
华为Mate30 Pro 5G,6.1-6.4,59507,6,23,1265181
华为Mate30 Pro 5G,6.5-6.11,95684,6,24,1265181
华为Mate30 Pro 5G,6.12-6.18,95847,6,25,1265181
华为Mate30 Pro 5G,6.19-6.25,94676,6,26,1265181
华为Mate30 Pro 5G,6.26-6.30,68724,6,27,1265181
华为Mate30 Pro 5G,7.1-7.2,32373,7,27,1265181
华为Mate30 Pro 5G,7.3-7.9,83438,7,28,1265181
华为Mate30 Pro 5G,7.10-7.16,78350,7,29,1265181
华为Mate30 Pro 5G,7.17-7.23,76768,7,30,1265181
华为Mate30 Pro 5G,7.24-7.30,88136,7,31,1265181
华为Mate30 Pro 5G,7.31-7.31,12591,7,32,1265181
华为Mate30 Pro 5G,8.1-8.6,68075,8,32,1265181
华为Mate30 Pro 5G,8.7-8.13,77888,8,33,1265181
华为Mate30 Pro 5G,8.14-8.20,82151,8,34,1265181
华为Mate30 Pro 5G,8.21-8.27,86546,8,35,1265181
华为Mate30 Pro 5G,8.28-8.31,61355,8,36,1265181
华为Mate30 Pro 5G,9.1-9.3,45599,9,36,1265181
华为Mate30 Pro 5G,9.4-9.10,75560,9,37,1265181
华为Mate30 Pro 5G,9.11-9.17,73127,9,38,1265181
华为Mate30 Pro 5G,9.18-9.24,64044,9,39,1265181
华为Mate30 Pro 5G,9.25-9.30,50529,9,40,1265181
华为Mate30 Pro 5G,10.1,9541,10,40,1265181
华为Mate30 Pro 5G,10.2-10.8,53169,10,41,1265181
华为Mate30 Pro 5G,10.9-10.15,62940,10,42,1265181
华为Mate30 Pro 5G,10.16-10.22,59456,10,43,1265181
华为Mate30 RS保时捷版 5G,1.1-1.5,5968,1,1,1292757
华为Mate30 RS保时捷版 5G,1.6-1.12,6887,1,2,1292757
华为Mate30 RS保时捷版 5G,1.13-1.19,6695,1,3,1292757
华为Mate30 RS保时捷版 5G,1.20-1.26,6914,1,4,1292757
华为Mate30 RS保时捷版 5G,1.27-1.31,3699,1,5,1292757
华为Mate30 RS保时捷版 5G,2.1-2.2,1539,2,5,1292757
华为Mate30 RS保时捷版 5G,2.3-2.9,3235,2,6,1292757
华为Mate30 RS保时捷版 5G,2.10-2.16,2865,2,7,1292757
华为Mate30 RS保时捷版 5G,2.17-2.23,2760,2,8,1292757
华为Mate30 RS保时捷版 5G,2.24-2.29,3024,2,9,1292757
华为Mate30 RS保时捷版 5G,3.1-3.5,3274,3,10,1292757
华为Mate30 RS保时捷版 5G,3.6-3.12,4271,3,11,1292757
华为Mate30 RS保时捷版 5G,3.13-3.19,4264,3,12,1292757
华为Mate30 RS保时捷版 5G,3.20-3.26,4193,3,13,1292757
华为Mate30 RS保时捷版 5G,3.27-3.31,3200,3,14,1292757
华为Mate30 RS保时捷版 5G,4.1-4.2,1427,4,14,1292757
华为Mate30 RS保时捷版 5G,4.3-4.9,4789,4,15,1292757
华为Mate30 RS保时捷版 5G,4.10-4.16,4387,4,16,1292757
华为Mate30 RS保时捷版 5G,4.17-4.23,4141,4,17,1292757
华为Mate30 RS保时捷版 5G,4.24-4.30,4364,4,18,1292757
华为Mate30 RS保时捷版 5G,5.1-5.7,4332,5,19,1292757
华为Mate30 RS保时捷版 5G,5.8-5.14,4451,5,20,1292757
华为Mate30 RS保时捷版 5G,5.15-5.21,4227,5,21,1292757
华为Mate30 RS保时捷版 5G,5.22-5.28,4305,5,22,1292757
华为Mate30 RS保时捷版 5G,5.29-5.31,2270,5,23,1292757
华为Mate30 RS保时捷版 5G,6.1-6.4,2894,6,23,1292757
华为Mate30 RS保时捷版 5G,6.5-6.11,4767,6,24,1292757
华为Mate30 RS保时捷版 5G,6.12-6.18,5044,6,25,1292757
华为Mate30 RS保时捷版 5G,6.19-6.25,4891,6,26,1292757
华为Mate30 RS保时捷版 5G,6.26-6.30,3867,6,27,1292757
华为Mate30 RS保时捷版 5G,7.1-7.2,1587,7,27,1292757
华为Mate30 RS保时捷版 5G,7.3-7.9,4591,7,28,1292757
华为Mate30 RS保时捷版 5G,7.10-7.16,4585,7,29,1292757
华为Mate30 RS保时捷版 5G,7.17-7.23,4404,7,30,1292757
华为Mate30 RS保时捷版 5G,7.24-7.30,5620,7,31,1292757
华为Mate30 RS保时捷版 5G,7.31-7.31,803,7,32,1292757
华为Mate30 RS保时捷版 5G,8.1-8.6,3885,8,32,1292757
华为Mate30 RS保时捷版 5G,8.7-8.13,4645,8,33,1292757
华为Mate30 RS保时捷版 5G,8.14-8.20,4297,8,34,1292757
华为Mate30 RS保时捷版 5G,8.21-8.27,4163,8,35,1292757
华为Mate30 RS保时捷版 5G,8.28-8.31,2405,8,36,1292757
华为Mate30 RS保时捷版 5G,9.1-9.3,1760,9,36,1292757
华为Mate30 RS保时捷版 5G,9.4-9.10,3267,9,37,1292757
华为Mate30 RS保时捷版 5G,9.11-9.17,2562,9,38,1292757
华为Mate30 RS保时捷版 5G,9.18-9.24,1887,9,39,1292757
华为Mate30 RS保时捷版 5G,9.25-9.30,1308,9,40,1292757
华为Mate30 RS保时捷版 5G,10.1,284,10,40,1292757
华为Mate30 RS保时捷版 5G,10.2-10.8,1340,10,41,1292757
华为Mate30 RS保时捷版 5G,10.9-10.15,1392,10,42,1292757
华为Mate30 RS保时捷版 5G,10.16-10.22,1392,10,43,1292757
华为nova 4,1.1-1.5,35750,1,1,1241574
华为nova 4,1.6-1.12,46994,1,2,1241574
华为nova 4,1.13-1.19,36151,1,3,1241574
华为nova 4,1.20-1.26,35964,1,4,1241574
华为nova 4,1.27-1.31,21896,1,5,1241574
华为nova 4,2.1-2.2,9292,2,5,1241574
华为nova 4,2.3-2.9,28669,2,6,1241574
华为nova 4,2.10-2.16,17633,2,7,1241574
华为nova 4,2.17-2.23,15316,2,8,1241574
华为nova 4,2.24-2.29,12522,2,9,1241574
华为nova 4,3.1-3.5,9498,3,10,1241574
华为nova 4,3.6-3.12,10280,3,11,1241574
华为nova 4,3.13-3.19,9430,3,12,1241574
华为nova 4,3.20-3.26,8507,3,13,1241574
华为nova 4,3.27-3.31,5163,3,14,1241574
华为nova 4,4.1-4.2,2305,4,14,1241574
华为nova 4,4.3-4.9,7734,4,15,1241574
